number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,system_attrs_tpe:relative_params:0,state
0,397.3822554334431,2026-09-12 20:37:04.707341,2026-09-12 20:37:13.305676,0 days 00:00:08.598335,0.7311989040672405,0.018272261776066247,7,68,61,0.5399484409787432,1.1430983876313219,0.7312037280884872,714,,COMPLETE
1,402.65965233210426,2026-09-12 20:37:13.305961,2026-09-12 20:37:16.761784,0 days 00:00:03.455823,0.7424678221356552,0.026312454510574512,4,98,49,0.023270677083837805,1.5199348301309807,0.8664885281600844,500,,COMPLETE
2,399.8122012102088,2026-09-12 20:37:16.762016,2026-09-12 20:37:24.144651,0 days 00:00:07.382635,0.7278987721304083,0.016317596956423423,6,43,40,0.05404103854647329,1.9594972058679163,0.8223705789444758,751,,COMPLETE
3,405.88972747344854,2026-09-12 20:37:24.144855,2026-09-12 20:37:27.095796,0 days 00:00:02.950941,0.7092900825439995,0.020834315611529482,4,61,53,0.021930485556643693,4.050837781329674,0.8184829137724084,404,,COMPLETE
4,413.49828261270164,2026-09-12 20:37:27.096011,2026-09-12 20:37:37.590457,0 days 00:00:10.494446,0.7195344228012768,0.01110373560851683,8,85,61,0.07591104805282695,4.833180632488465,0.7609227538346741,841,,COMPLETE
5,398.8954574146746,2026-09-12 20:37:37.590674,2026-09-12 20:37:41.310609,0 days 00:00:03.719935,0.8325044568707964,0.01217029388373879,4,93,39,0.10968217207529521,2.0497980520950176,0.7517559963200033,502,,COMPLETE
6,344.9456145625798,2026-09-12 20:37:41.310823,2026-09-12 20:37:47.609401,0 days 00:00:06.298578,0.8789654700855298,0.02410649590217162,8,82,24,0.6978281265126032,3.961867790406583,0.8878997883128379,780,,COMPLETE
7,403.78814233792355,2026-09-12 20:37:47.609607,2026-09-12 20:37:53.650086,0 days 00:00:06.040479,0.7542698063547791,0.011530645080977573,4,46,24,0.05170191786366993,6.741204610702761,0.7777354579378963,913,,COMPLETE
8,366.59609217040776,2026-09-12 20:37:53.650301,2026-09-12 20:37:57.790369,0 days 00:00:04.140068,0.8973773873201035,0.015716824201651516,4,84,41,0.024970737145052723,5.918951335463645,0.7149101287359542,580,,COMPLETE
9,404.54914014851016,2026-09-12 20:37:57.790579,2026-09-12 20:38:07.874307,0 days 00:00:10.083728,0.714808930346818,0.01008927115786203,7,79,54,0.017050539260269296,2.2827887759905128,0.8542540693371892,889,,COMPLETE
10,385.8320123613709,2026-09-12 20:38:07.874536,2026-09-12 20:38:14.006551,0 days 00:00:06.132015,0.8310537469061068,0.026334488269931705,6,50,52,0.6930762121852909,4.545734472241737,0.8804710717324744,601,"{""colsample_bytree"": 0.8310537469061068, ""learning_rate"": 0.026334488269931705, ""max_depth"": 6, ""min_child_samples"": 50, ""num_leaves"": 52, ""reg_alpha"": 0.6930762121852909, ""reg_lambda"": 4.545734472241737, ""subsample"": 0.8804710717324744}",COMPLETE
11,376.725435914628,2026-09-12 20:38:14.006761,2026-09-12 20:38:16.394077,0 days 00:00:02.387316,0.8944392705862925,0.02065878038507577,4,92,39,0.06281237236142748,3.8806363129814847,0.7546447451721741,305,"{""colsample_bytree"": 0.8944392705862925, ""learning_rate"": 0.02065878038507577, ""max_depth"": 4, ""min_child_samples"": 92, ""num_leaves"": 39, ""reg_alpha"": 0.06281237236142748, ""reg_lambda"": 3.8806363129814847, ""subsample"": 0.7546447451721741}",COMPLETE
12,361.96157961401286,2026-09-12 20:38:16.394320,2026-09-12 20:38:21.752439,0 days 00:00:05.358119,0.8972446462249088,0.019489751124369913,6,78,45,0.035758737442716564,3.202348844072766,0.8303618046710581,510,"{""colsample_bytree"": 0.8972446462249088, ""learning_rate"": 0.019489751124369913, ""max_depth"": 6, ""min_child_samples"": 78, ""num_leaves"": 45, ""reg_alpha"": 0.035758737442716564, ""reg_lambda"": 3.202348844072766, ""subsample"": 0.8303618046710581}",COMPLETE
13,361.0310916579644,2026-09-12 20:38:21.752663,2026-09-12 20:38:27.659025,0 days 00:00:05.906362,0.8882763070916007,0.01566929098559771,8,97,20,0.7610090226230619,3.331872132400736,0.8997315501326915,787,"{""colsample_bytree"": 0.8882763070916007, ""learning_rate"": 0.01566929098559771, ""max_depth"": 8, ""min_child_samples"": 97, ""num_leaves"": 20, ""reg_alpha"": 0.7610090226230619, ""reg_lambda"": 3.331872132400736, ""subsample"": 0.8997315501326915}",COMPLETE
14,353.6473549367285,2026-09-12 20:38:27.659249,2026-09-12 20:38:32.016041,0 days 00:00:04.356792,0.8874482792300892,0.022294050043660456,8,73,26,0.977073922944523,5.034079929547744,0.8718070560943907,481,"{""colsample_bytree"": 0.8874482792300892, ""learning_rate"": 0.022294050043660456, ""max_depth"": 8, ""min_child_samples"": 73, ""num_leaves"": 26, ""reg_alpha"": 0.977073922944523, ""reg_lambda"": 5.034079929547744, ""subsample"": 0.8718070560943907}",COMPLETE
15,363.27537595514104,2026-09-12 20:38:32.016256,2026-09-12 20:38:39.283725,0 days 00:00:07.267469,0.8906719252547675,0.019198769860457682,8,81,38,0.43397115662370633,6.865899943054235,0.8551572135682343,691,"{""colsample_bytree"": 0.8906719252547675, ""learning_rate"": 0.019198769860457682, ""max_depth"": 8, ""min_child_samples"": 81, ""num_leaves"": 38, ""reg_alpha"": 0.43397115662370633, ""reg_lambda"": 6.865899943054235, ""subsample"": 0.8551572135682343}",COMPLETE
16,375.2575155134912,2026-09-12 20:38:39.283942,2026-09-12 20:38:43.653421,0 days 00:00:04.369479,0.8365706539145975,0.02828447853375527,8,59,24,0.3709607912199135,3.651146329069334,0.8634845673763334,517,"{""colsample_bytree"": 0.8365706539145975, ""learning_rate"": 0.02828447853375527, ""max_depth"": 8, ""min_child_samples"": 59, ""num_leaves"": 24, ""reg_alpha"": 0.3709607912199135, ""reg_lambda"": 3.651146329069334, ""subsample"": 0.8634845673763334}",COMPLETE
17,380.0655063885519,2026-09-12 20:38:43.653637,2026-09-12 20:38:46.075374,0 days 00:00:02.421737,0.8966795456423616,0.026903070727340585,6,100,28,0.9853436247179772,4.42984655782149,0.8835137617882377,233,"{""colsample_bytree"": 0.8966795456423616, ""learning_rate"": 0.026903070727340585, ""max_depth"": 6, ""min_child_samples"": 100, ""num_leaves"": 28, ""reg_alpha"": 0.9853436247179772, ""reg_lambda"": 4.42984655782149, ""subsample"": 0.8835137617882377}",COMPLETE
18,374.8597649191932,2026-09-12 20:38:46.075591,2026-09-12 20:38:52.534618,0 days 00:00:06.459027,0.8549768742811462,0.030313676172553355,8,64,29,0.2154619142229764,6.868992293026746,0.8853265330560285,748,"{""colsample_bytree"": 0.8549768742811462, ""learning_rate"": 0.030313676172553355, ""max_depth"": 8, ""min_child_samples"": 64, ""num_leaves"": 29, ""reg_alpha"": 0.2154619142229764, ""reg_lambda"": 6.868992293026746, ""subsample"": 0.8853265330560285}",COMPLETE
19,349.05400085138723,2026-09-12 20:38:52.534847,2026-09-12 20:38:58.256853,0 days 00:00:05.722006,0.8850517954924086,0.029170946130238445,8,95,27,0.4838948793574554,5.74617886740979,0.8833217843942108,633,"{""colsample_bytree"": 0.8850517954924086, ""learning_rate"": 0.029170946130238445, ""max_depth"": 8, ""min_child_samples"": 95, ""num_leaves"": 27, ""reg_alpha"": 0.4838948793574554, ""reg_lambda"": 5.74617886740979, ""subsample"": 0.8833217843942108}",COMPLETE
