number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,system_attrs_tpe:relative_params:0,state
0,412.5958737639144,2026-09-12 19:22:09.826178,2026-09-12 19:22:24.942704,0 days 00:00:15.116526,0.6312037280884872,1.2022300234864176,0.046187109390049115,6,7.348118405270449,900,0.1143098387631322,1.2853916978930136,0.7897987726295554,896,,COMPLETE
1,453.0523292794474,2026-09-12 19:22:24.943004,2026-09-12 19:22:49.151805,0 days 00:00:24.208801,0.6424678221356552,1.0495128632644757,0.010336843570697403,7,2.0148477884158655,1200,0.15254729458052607,1.3399549522183016,0.8248663961200632,1200,,COMPLETE
2,439.65143903065547,2026-09-12 19:22:49.152034,2026-09-12 19:23:05.076230,0 days 00:00:15.924196,0.6584289297070436,0.39934756431671947,0.01597939871741036,6,6.097839109531514,900,0.2858051065806936,1.8033330377234336,0.7209240790978062,900,,COMPLETE
3,417.02770025441436,2026-09-12 19:23:05.076445,2026-09-12 19:23:16.711854,0 days 00:00:11.635409,0.6341048247374583,1.6167946962329223,0.025946573538779633,4,9.23915031962725,1000,0.8889667907018927,1.1103735608516823,0.7911317277852157,777,,COMPLETE
4,462.9919965608772,2026-09-12 19:23:16.712078,2026-09-12 19:23:31.046985,0 days 00:00:14.334907,0.6244076469689558,0.5175599632000338,0.011702263636127802,6,8.115595675970502,800,0.10824018381500958,2.218777775048716,0.7660228740609402,797,,COMPLETE
5,428.74848279316683,2026-09-12 19:23:31.047200,2026-09-12 19:23:51.584748,0 days 00:00:20.537548,0.6369708911051054,1.7896547008552977,0.016514928287652886,6,8.699593128513321,1200,0.5958443469672517,4.7611358286265135,0.7820065419014919,1199,,COMPLETE
6,392.13284449613553,2026-09-12 19:23:51.584970,2026-09-12 19:24:06.139636,0 days 00:00:14.554666,0.6090454577821076,1.6574750183038587,0.04409226795827594,4,1.8678802571070678,1100,0.2447244097399011,1.6880921204232378,0.7293974293628718,976,,COMPLETE
7,366.9043301141576,2026-09-12 19:24:06.139861,2026-09-12 19:24:20.331739,0 days 00:00:14.191878,0.7604393961508079,0.3974313630683448,0.015716824201651516,6,5.918951335463645,800,0.9702573394120727,1.1274795247181455,0.7211386337462143,799,,COMPLETE
8,353.8984030536667,2026-09-12 19:24:20.331962,2026-09-12 19:24:27.966532,0 days 00:00:07.634570,0.7542540693371892,1.726206851751187,0.03715207529088701,6,1.305777134899723,500,0.2282788775990513,1.126561721300659,0.809351075206148,410,,COMPLETE
9,429.2256976666281,2026-09-12 19:24:27.966749,2026-09-12 19:24:41.898641,0 days 00:00:13.931892,0.6650366644053494,0.9444298503238986,0.017032868513634135,4,7.712811947156349,1100,0.4340677011889399,3.235734158528432,0.7466473482573492,953,,COMPLETE
10,408.92403397361437,2026-09-12 19:24:41.898864,2026-09-12 19:24:48.062017,0 days 00:00:06.163153,0.7270272821649206,1.8932620234697883,0.036063978836759124,4,1.582044338396417,500,0.2978332837300871,2.9260371781581234,0.8034414615162953,407,"{""colsample_bytree"": 0.7270272821649206, ""gamma"": 1.8932620234697883, ""learning_rate"": 0.036063978836759124, ""max_depth"": 4, ""min_child_weight"": 1.582044338396417, ""n_estimators"": 500, ""reg_alpha"": 0.2978332837300871, ""reg_lambda"": 2.9260371781581234, ""subsample"": 0.8034414615162953}",COMPLETE
11,387.80279285260485,2026-09-12 19:24:48.062241,2026-09-12 19:25:00.394736,0 days 00:00:12.332495,0.7480347289130971,1.079620028723236,0.024864912921705517,6,1.4136251803124436,700,0.5796156493002356,1.2665577244543826,0.7332577879797598,696,"{""colsample_bytree"": 0.7480347289130971, ""gamma"": 1.079620028723236, ""learning_rate"": 0.024864912921705517, ""max_depth"": 6, ""min_child_weight"": 1.4136251803124436, ""n_estimators"": 700, ""reg_alpha"": 0.5796156493002356, ""reg_lambda"": 1.2665577244543826, ""subsample"": 0.7332577879797598}",COMPLETE
12,382.07658979821525,2026-09-12 19:25:00.394962,2026-09-12 19:25:09.562339,0 days 00:00:09.167377,0.7926573184462368,1.994456706320623,0.014675736278273415,6,1.2476104221470408,500,0.34729437444516975,1.0738527989222129,0.789532549296102,494,"{""colsample_bytree"": 0.7926573184462368, ""gamma"": 1.994456706320623, ""learning_rate"": 0.014675736278273415, ""max_depth"": 6, ""min_child_weight"": 1.2476104221470408, ""n_estimators"": 500, ""reg_alpha"": 0.34729437444516975, ""reg_lambda"": 1.0738527989222129, ""subsample"": 0.789532549296102}",COMPLETE
